,mission_id,geometry
145,ap076264,POINT (145.724157 15.188155)
146,ap076265,POINT (145.72457 15.209759)
147,ap076268,POINT (145.729004 15.119)
148,ap076275,POINT (145.763347 18.12317)
149,ap076283,POINT (145.783005 15.25)
150,sp003632,POINT (138.133333 9.516667)
151,sp003715,POINT (144.616667 13.45)
152,sp003717,POINT (145.15 14.133333)
153,sp003724,POINT (145.616667 14.966667)
154,sp003725,POINT (145.683333 15.2)
155,ip002542,POINT (139.686271 33.126316)
156,ip002552,POINT (142.134985 27.676013)
157,ip002555,POINT (142.207629 27.117516)
158,ip002556,POINT (142.21123 27.492362)
159,ip002576,POINT (143.839998 7.373018)
160,ip002577,POINT (143.857814 7.374641)
161,ip002579,POINT (143.913031 7.372623)
162,ip002580,POINT (143.919128 7.354643)
163,ap065049,POINT (74.083753 33.76875)
164,ap065064,POINT (74.315201 33.377899)
165,ap065104,POINT (74.7742 33.987099)
166,ap065109,POINT (74.838152 32.688849)
167,ap065117,POINT (74.9757 33.876598)
168,ap065126,POINT (75.155709 32.902152)
169,ap065153,POINT (75.634444 32.233611)
170,ap065178,POINT (76.13505 34.5577)
171,ap065179,POINT (76.155899 34.5243)
172,ap065185,POINT (76.263018 32.164902)
173,ap065197,POINT (76.457747 32.921925)
174,ap065220,POINT (76.75675 31.345139)
175,ap065236,POINT (76.90241 34.31879)
176,ap065258,POINT (77.068001 31.0818)
177,ap065265,POINT (77.154404 31.876699)
178,ap065267,POINT (77.157015 31.111405)
179,ap065270,POINT (77.185811 34.211296)
180,ap065276,POINT (77.31903 34.19983)
181,ap065283,POINT (77.375801 34.652599)
182,ap065285,POINT (77.44237 31.33025)
183,ap065289,POINT (77.49121 31.3534)
184,ap065292,POINT (77.537205 34.129295)
185,ap065293,POINT (77.546501 34.135899)
186,ap065296,POINT (77.55919 31.3337)
187,ap065304,POINT (77.62826 31.41727)
188,ap065313,POINT (77.70754 31.4899)
189,ap065316,POINT (77.74465 33.91257)
190,ap065324,POINT (77.82194 33.82395)
191,ap065326,POINT (77.861524 30.706042)
192,ap065328,POINT (77.928965 35.396467)
193,ap065340,POINT (78.12866 33.47621)
194,ap065341,POINT (78.13719 34.06786)
195,ap065345,POINT (78.176651 30.189243)
196,ap065351,POINT (78.2723 31.5392)
197,ap065354,POINT (78.31326 33.36284)
198,ap065356,POINT (78.323164 30.582583)
199,ap065362,POINT (78.418908 33.966779)
200,ap065364,POINT (78.43633 31.6015)
201,ap065367,POINT (78.45075 30.57862)
202,ap065370,POINT (78.52398 33.85732)
203,ap065378,POINT (78.57191 31.75225)
204,ap065379,POINT (78.59328 31.96923)
205,ap065381,POINT (78.62787 31.8861)
206,ap065384,POINT (78.6417 33.193)
207,ap065386,POINT (78.67575 32.09448)
208,ap065393,POINT (78.72214 33.55493)
209,ap065394,POINT (78.72971 33.16913)
210,ap065405,POINT (78.98563 32.77295)
211,ap065409,POINT (79.07384 33.76843)
212,ap065414,POINT (79.161665 30.284585)
213,ap065418,POINT (79.213203 32.937401)
214,ap065432,POINT (79.45816 32.69531)
215,ap065433,POINT (79.473701 29.0334)
216,ap065481,POINT (80.053056 32.1)
217,ap065484,POINT (80.072168 32.496868)
218,ap065497,POINT (80.239197 29.593599)
219,ap065515,POINT (80.45084 33.65626)
220,ap065550,POINT (81.134033 30.3942)
221,ap065687,POINT (84.02739 32.30204)
222,ap065943,POINT (90.911951 29.298001)
223,ap065976,POINT (91.703814 27.724741)
224,ap065986,POINT (91.877439 27.588732)
225,ap065991,POINT (91.96402 28.0068)
226,ap066012,POINT (92.344444 28.4225)
227,ap066087,POINT (93.638792 26.96683)
228,ap066097,POINT (93.828102 27.588301)
229,ap066107,POINT (94.126139 28.602458)
230,ap066114,POINT (94.222801 27.9855)
231,ap066117,POINT (94.335297 29.303301)
232,ap066129,POINT (94.802002 28.175301)
233,ap066134,POINT (94.89863 28.98876)
234,ap066139,POINT (94.95583 28.31533)
235,ap066141,POINT (94.97873 29.13306)
236,ap066142,POINT (95.00239 28.20879)
237,ap066145,POINT (95.0196 28.6393)
238,ap066146,POINT (95.06795 28.53862)
239,ap066151,POINT (95.16765 29.24251)
240,ap066156,POINT (95.336952 28.064786)
241,ap066162,POINT (95.467098 27.195513)
242,ap066170,POINT (95.83937 28.14626)
243,ap066171,POINT (95.853884 27.676474)
244,ap066175,POINT (95.999887 27.803726)
